file_name,tempo,spectral_contrast_2_mean,mfccs_4_mean,mfccs_1_std
"21 Savage, Offset, Metro Boomin - Ric Flair Drip.mp3",99.384,20.68,8.283,41.522
6LACK - Pretty Little Fears ft. J. Cole (Official Music Video).mp3,129.199,18.874,3.539,51.168
Abacus ft. Cimone - Everybody's Got To Learn Sometime (I Need Your Loving).mp3,103.359,18.79,5.41,54.488
Arizona Zervas - Zone (ft. John Wolf).mp3,135.999,17.985,0.528,54.251
Bachman Turner Overdrive - You Ain't Seen Nothing Yet.mp3,117.454,17.768,3.858,18.296
Barely Alive - Warrior (ft. Mad Hed City).mp3,86.133,15.529,1.217,42.289
bassnectar - bass head.mp3,172.266,14.938,12.678,42.88
bassnectar - cozza frenzy ( mega bass remix ).mp3,135.999,14.523,10.469,24.28
Bassnectar - Magical World feat. Nelly Furtado (Official).mp3,135.999,18.388,2.2,41.105
bassnectar - underwater ft. tina malia.mp3,135.999,17.968,-20.614,37.302
benny benassi - cinema ( skrillex remix ).mp3,143.555,16.325,-1.353,23.38
Bensley - Do It Again (ft. Armanni Reign).mp3,117.454,15.637,1.387,33.694
Bert H & Edlan - Intercept.mp3,117.454,18.395,6.611,44.297
Big L.C.T. - Trendsetter.mp3,143.555,18.755,2.338,39.034
Black Sun Empire & State Of Mind - Caterpillar (Drumsound & Bassline Smith Remix).mp3,117.454,15.771,10.472,29.187
