file_name,tempo,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,mfccs_4_mean,mfccs_1_std,mfccs_5_std
$ea - Flex (Official Video) Shot by IIISLANDBOY.mp3,117.454,13.957,17.663,16.884,12.936,43.169,23.598
16 Bit - In The Death Car Vocal Mix.mp3,135.999,15.446,18.889,17.857,1.246,31.29,16.701
2 Chainz - 4 AM ft. Travis Scott.mp3,151.999,15.128,18.309,19.134,7.652,47.072,19.444
"2 Chainz - Bigger Than You ft. Drake, Quavo.mp3",143.555,14.883,18.892,17.837,1.398,44.224,15.032
"2 Chainz - PROUD ft. YG, Offset.mp3",172.266,17.351,18.421,18.406,-3.53,49.167,21.314
21 Savage - All The Smoke (Official Music Video).mp3,135.999,12.904,17.826,18.492,5.185,52.42,20.367
21 Savage - Nothin New (Official Music Video).mp3,151.999,16.32,19.497,18.63,10.779,45.82,15.899
"21 Savage, Offset, Metro Boomin - Ric Flair Drip.mp3",99.384,14.855,20.68,18.316,8.283,41.522,21.575
"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video).mp3",123.047,15.446,17.66,17.928,4.94,52.271,19.096
6LACK - Pretty Little Fears ft. J. Cole (Official Music Video).mp3,129.199,16.032,18.874,18.075,3.539,51.168,16.083
"A Great Big World, Christina Aguilera - Say Something.mp3",135.999,20.314,23.256,22.574,1.303,41.913,12.606
A$AP Ferg 'The Mattress' ft. A$AP Rocky (Official Video).mp3,117.454,14.69,17.859,16.568,5.923,28.614,13.739
Abacus ft. Cimone - Everybody's Got To Learn Sometime (I Need Your Loving).mp3,103.359,15.439,18.79,18.808,5.41,54.488,13.08
AC_DC - You Shook Me All Night Long (Official Video).mp3,129.199,14.261,16.918,18.068,8.758,31.845,13.27
Adele - Hello.mp3,151.999,15.505,17.65,18.756,7.953,38.142,11.984
Adele - Rolling In The Deep (Dimension DNB Remix).mp3,117.454,16.687,19.94,19.59,0.21,36.445,14.472
Adele - Rolling In The Deep (Jamie xx Shuffle).mp3,103.359,17.39,19.827,19.266,2.01,44.673,17.536
Adele - Rolling in the Deep.mp3,103.359,15.758,18.304,18.613,12.122,29.614,10.988
Adele - Send My Love (To Your New Lover).mp3,161.499,15.992,19.338,18.815,13.12,37.663,13.281
Adele - Someone Like You.mp3,135.999,19.655,22.658,22.371,5.776,39.314,12.682
Adele _ Hometown Glory (Neuratik Remix).mp3,135.999,17.532,21.966,24.461,13.477,34.485,14.705
Aerosmith - Dream On.mp3,143.555,16.339,18.685,18.038,-12.909,21.861,8.956
Aerosmith Walk This Way Lyrics.mp3,107.666,14.66,16.322,16.751,-3.727,24.413,8.668
afrojack - take over control ft. eva simons ( adam f remix ).mp3,143.555,15.592,17.769,16.855,13.484,32.473,10.987
Alan Walker - All Falls Down (feat. Noah Cyrus with Digital Farm Animals).mp3,129.199,15.316,18.15,18.477,-3.549,38.424,12.636
Alan Walker - Alone.mp3,95.703,15.453,18.6,18.687,3.074,36.957,12.287
Alan Walker - Darkside (feat. Au_Ra and Tomine Harket).mp3,86.133,15.895,19.585,19.05,1.368,51.155,14.709
Alan Walker - Diamond Heart (feat. Sophia Somajo).mp3,89.103,15.919,18.792,18.135,-1.015,35.716,12.282
Alan Walker ft. Gavin James - Tired.mp3,123.047,15.082,17.531,17.77,5.564,41.986,9.9
Alborosie - herbalist dubstep remix by NUMA CREW.mp3,143.555,14.85,16.274,16.608,-2.778,43.826,22.805
Alesso - REMEDY (Official Music Video).mp3,161.499,15.619,18.093,17.688,1.592,43.334,12.419
Alok & Ina Wroldsen - Favela (Official Music Video).mp3,135.999,16.485,18.698,19.603,10.98,34.553,18.161
Alok & Mathieu Koss - Big Jet Plane (Official Music Video).mp3,123.047,15.175,17.691,17.228,8.426,49.077,15.904
Alok & Selva - I Miss U (Official Lyric Video).mp3,95.703,16.7,20.497,19.066,2.114,39.684,13.2
Alok & Yves V - Innocent (feat. Gavin James) [Official Music Video].mp3,123.047,16.027,19.849,18.848,7.702,40.256,11.795
"Alok, Bruno Martini feat. Zeeba - Hear Me Now (Official Music Video).mp3",123.047,16.126,19.431,19.957,1.429,46.465,16.695
"Alok, Bruno Martini, Zeeba - Never Let Me Go (Official Music Video).mp3",123.047,14.819,17.292,18.147,1.118,41.63,15.177
"Alok, Zeeba, IRO - Ocean (Radio Edit).mp3",112.347,16.492,19.783,20.306,2.623,36.645,14.05
Amigo The Devil - cocaine and abel (Official Music Video).mp3,143.555,19.218,20.81,20.288,15.077,32.78,10.967
Anna Clendening - Invisible (Official Music Video).mp3,112.347,15.893,18.202,17.291,12.521,38.932,19.237
Anne-Marie - 2002 [Official Video].mp3,129.199,16.152,19.75,18.922,12.755,37.462,15.764
Antar Blue Band (Bob Dylan) - 'Like a Rolling Stone' World's Most Viewed Cover! COVER COVER COVER}.mp3,103.359,16.283,18.83,18.556,14.402,27.556,10.066
Arcando & VMK - These Walls ft. Tim Riehm  [Lyric Video].mp3,117.454,16.481,18.609,18.243,1.133,46.891,13.59
Ariana Grande - breathin.mp3,99.384,15.433,19.03,19.37,0.408,40.88,17.298
Ariana Grande - Dangerous Woman.mp3,135.999,15.528,18.661,19.049,-5.137,27.868,14.57
Ariana Grande - God is a woman.mp3,143.555,15.701,18.156,18.904,4.829,39.387,17.197
Ariana Grande - Into You.mp3,107.666,14.248,17.9,18.043,8.361,35.749,14.597
Ariana Grande - no tears left to cry.mp3,123.047,15.545,18.295,18.444,-2.47,35.657,18.545
Ariana Grande - One Last Time (Official).mp3,123.047,15.351,18.434,18.472,4.952,37.969,13.466
