file_name,signal_mean,zcr_mean,rmse_mean,tempo,spectral_centroid_mean,spectral_contrast_mean,mfccs_mean
Abacus ft. Cimone - Everybody's Got To Learn Sometime (I Need Your Loving).mp3,0.217,0.097,0.262,103.359,2540.218,20.634,4.049
afrojack - take over control ft. eva simons ( adam f remix ).mp3,0.245,0.104,0.303,143.555,2532.481,19.663,8.569
Arizona Zervas - Zone (ft. John Wolf).mp3,0.21,0.07,0.253,135.999,1655.63,20.882,2.508
Barely Alive - Warrior (ft. Mad Hed City).mp3,0.31,0.137,0.369,86.133,3190.648,18.007,6.795
bassnectar - bass head.mp3,0.129,0.099,0.15,172.266,3037.594,18.503,1.791
bassnectar - cozza frenzy ( mega bass remix ).mp3,0.257,0.085,0.302,135.999,2737.001,17.75,6.4
bassnectar - underwater ft. tina malia.mp3,0.239,0.088,0.284,135.999,2160.737,23.888,3.761
benny benassi - cinema ( skrillex remix ).mp3,0.211,0.149,0.257,143.555,3312.022,18.69,4.044
Bensley - Do It Again (ft. Armanni Reign).mp3,0.232,0.119,0.276,117.454,3009.087,19.021,5.718
Bert H & Edlan - Intercept.mp3,0.261,0.06,0.303,117.454,2269.458,19.766,5.98
Black Sun Empire & State Of Mind - Caterpillar (Drumsound & Bassline Smith Remix).mp3,0.341,0.122,0.4,117.454,3118.693,18.065,8.52
Booka Shade - At The Window (Altimeter's High Altitude Mix).m4a.part,0.143,0.043,0.173,92.285,1542.915,21.441,3.35
Booka Shade - At The Window (Altimeter's High Altitude Mix).m4a.part,0.143,0.043,0.173,92.285,1542.915,21.441,3.35
Booka Shade - Line Of Fire (DANCE CULT Remix).mp3,0.209,0.061,0.249,123.047,1921.427,20.59,3.227
britney spears - hold it against me ( jacob plant remix ).mp3,0.2,0.094,0.236,135.999,2759.12,18.879,5.561
Brookes Brothers - Every Minute.mp3,0.232,0.098,0.275,117.454,3159.161,19.66,5.542
calvin harris - feel so close (nero remix).mp3,0.249,0.155,0.303,135.999,3330.205,18.901,8.08
Calyx & TeeBee - Caution (ft. Ben Verse).mp3,0.244,0.173,0.298,86.133,3562.328,18.118,2.194
Camo & Krooked - Black or White (ft. Tasha Baxter) (Signal Remix).mp3,0.295,0.115,0.353,117.454,2816.382,18.704,5.925
chase and status - let you go ( nero remix ).mp3,0.22,0.123,0.263,135.999,2894.688,18.864,7.851
chrispy - roll out.mp3,0.204,0.121,0.246,143.555,2573.42,20.582,2.038
chrispy ft. twin fx - she like that.mp3,0.209,0.088,0.252,143.555,2441.202,22.4,5.748
Culture Shock - There For You.mp3,0.242,0.106,0.292,117.454,2711.323,19.575,3.006
Cyantific - Bloodline (ft. Raphaella).mp3,0.234,0.13,0.286,117.454,2873.057,19.395,4.753
dada life - happy violence.mp3,0.249,0.08,0.298,129.199,2425.787,20.923,4.901
Dan Caplen - Trouble (Calyx & TeeBee Remix).mp3,0.217,0.09,0.264,117.454,2494.736,19.042,3.597
deadmau5 - i remember ( caspa remix ).mp3,0.246,0.114,0.289,92.285,2830.187,20.161,-0.25
Delta Heavy - I Need You [Monstercat Release].mp3,0.31,0.132,0.367,117.454,3182.485,18.868,7.524
Dimension - Techno.mp3,0.295,0.125,0.356,117.454,2905.157,18.09,6.251
Dimension - Whip Slap II.mp3,0.285,0.142,0.337,172.266,3366.371,18.023,4.96
Dirtyphonics - Scorpion.mp3,0.306,0.145,0.361,117.454,3345.014,17.936,6.941
dj fresh   louder doctor p & flux pavillion remix.mp3,0.295,0.113,0.359,143.555,2366.231,24.698,6.613
dj fresh - gold dust ( flux pavilion remix ).mp3,0.231,0.169,0.281,143.555,3509.563,18.915,0.316
Dominator & Turno - Bomb Squad (A.M.C VIP).mp3,0.352,0.173,0.42,172.266,3523.662,18.145,7.218
drifta ft. emily grace - rearranged.mp3,0.085,0.126,0.102,117.454,2871.939,19.239,-2.678
Drumsound & Bassline Smith vs. Teddy Killerz - Metal & Blood.mp3,0.285,0.157,0.342,86.133,3659.529,17.705,7.286
Edlan - Whatever You Said.mp3,0.186,0.068,0.216,86.133,2578.012,20.173,-0.219
ellie goulding - lights ( bassnectar remix ).mp3,0.246,0.104,0.292,135.999,3042.091,19.277,6.425
ellie goulding - starry eyed ( jakwob remix ).mp3,0.079,0.148,0.098,151.999,2799.548,19.606,1.388
